#sgRNA,Time,Rep1,Rep1,Avg1,Avg,SD,Condition,Strain,Other Name,sgRNA,ss,,sgRNA_#,Gene,Product,Locus Tag,EG,K56-2_Locus_Tag,Stock,Stock2,Leg,Leg2,Legend,Pathway,COG,COD ID
,7,0.1555,0.1155,0.1355,0.1355,0.028284271,(+) Rhamnose,,0,1882,CRISPRi Mutants,_,1882_0,WQ49_RS10095,hypothetical protein,WQ49_RS10095,WQ49_RS10095,K562_RS32770,882,882,(,),1882(882),Others,-,-
,8,0.263,0.129,0.196,0.196,0.094752309,(+) Rhamnose,,0,1882,CRISPRi Mutants,_,1882_0,WQ49_RS10095,hypothetical protein,WQ49_RS10095,WQ49_RS10095,K562_RS32770,882,882,(,),1882(882),Others,-,-
,9,0.305,0.1735,0.23925,0.23925,0.092984542,(+) Rhamnose,,0,1882,CRISPRi Mutants,_,1882_0,WQ49_RS10095,hypothetical protein,WQ49_RS10095,WQ49_RS10095,K562_RS32770,882,882,(,),1882(882),Others,-,-
,10,0.349,0.2225,0.28575,0.28575,0.089449008,(+) Rhamnose,,0,1882,CRISPRi Mutants,_,1882_0,WQ49_RS10095,hypothetical protein,WQ49_RS10095,WQ49_RS10095,K562_RS32770,882,882,(,),1882(882),Others,-,-
,11,0.3995,0.284,0.34175,0.34175,0.081670833,(+) Rhamnose,,0,1882,CRISPRi Mutants,_,1882_0,WQ49_RS10095,hypothetical protein,WQ49_RS10095,WQ49_RS10095,K562_RS32770,882,882,(,),1882(882),Others,-,-
,12,0.447,0.3215,0.38425,0.38425,0.088741901,(+) Rhamnose,,0,1882,CRISPRi Mutants,_,1882_0,WQ49_RS10095,hypothetical protein,WQ49_RS10095,WQ49_RS10095,K562_RS32770,882,882,(,),1882(882),Others,-,-
,13,0.495,0.373,0.434,0.434,0.086267027,(+) Rhamnose,,0,1882,CRISPRi Mutants,_,1882_0,WQ49_RS10095,hypothetical protein,WQ49_RS10095,WQ49_RS10095,K562_RS32770,882,882,(,),1882(882),Others,-,-
,14,0.5385,0.417,0.47775,0.47775,0.085913474,(+) Rhamnose,,0,1882,CRISPRi Mutants,_,1882_0,WQ49_RS10095,hypothetical protein,WQ49_RS10095,WQ49_RS10095,K562_RS32770,882,882,(,),1882(882),Others,-,-
,15,0.5885,0.459,0.52375,0.52375,0.091570328,(+) Rhamnose,,0,1882,CRISPRi Mutants,_,1882_0,WQ49_RS10095,hypothetical protein,WQ49_RS10095,WQ49_RS10095,K562_RS32770,882,882,(,),1882(882),Others,-,-
,16,0.67,0.49,0.58,0.58,0.127279221,(+) Rhamnose,,0,1882,CRISPRi Mutants,_,1882_0,WQ49_RS10095,hypothetical protein,WQ49_RS10095,WQ49_RS10095,K562_RS32770,882,882,(,),1882(882),Others,-,-
,17,0.7645,0.5735,0.669,0.669,0.135057395,(+) Rhamnose,,0,1882,CRISPRi Mutants,_,1882_0,WQ49_RS10095,hypothetical protein,WQ49_RS10095,WQ49_RS10095,K562_RS32770,882,882,(,),1882(882),Others,-,-
,18,0.8475,0.6555,0.7515,0.7515,0.135764502,(+) Rhamnose,,0,1882,CRISPRi Mutants,_,1882_0,WQ49_RS10095,hypothetical protein,WQ49_RS10095,WQ49_RS10095,K562_RS32770,882,882,(,),1882(882),Others,-,-
,19,0.9265,0.734,0.83025,0.83025,0.136118055,(+) Rhamnose,,0,1882,CRISPRi Mutants,_,1882_0,WQ49_RS10095,hypothetical protein,WQ49_RS10095,WQ49_RS10095,K562_RS32770,882,882,(,),1882(882),Others,-,-
,20,0.9925,0.8295,0.911,0.911,0.115258405,(+) Rhamnose,,0,1882,CRISPRi Mutants,_,1882_0,WQ49_RS10095,hypothetical protein,WQ49_RS10095,WQ49_RS10095,K562_RS32770,882,882,(,),1882(882),Others,-,-
,0,0.0955,0.103,0.01995,0.01995,0.005303301,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,1,0.0965,0.102,0.00875,0.00875,0.003889087,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,2,0.01325,0.102,0.00617,0.00617,0.003889087,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,3,0.02025,0.102,0.02075,0.02075,0.003535534,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,4,0.099,0.1025,0.094,0.094,0.002474874,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,5,0.102,0.1045,0.0975,0.0975,0.001767767,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,6,0.1085,0.109,0.10875,0.10875,0.000353553,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,7,0.122,0.1185,0.12025,0.12025,0.002474874,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,8,0.1515,0.141,0.14625,0.14625,0.007424621,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,9,0.2465,0.193,0.21975,0.21975,0.037830213,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,10,0.278,0.234,0.256,0.256,0.031112698,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,11,0.313,0.304,0.3085,0.3085,0.006363961,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,12,0.3475,0.3465,0.347,0.347,0.000707107,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,13,0.3875,0.3975,0.3925,0.3925,0.007071068,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,14,0.4225,0.443,0.43275,0.43275,0.014495689,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,15,0.4575,0.485,0.47125,0.47125,0.019445436,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,16,0.488,0.527,0.5075,0.5075,0.027577164,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,17,0.52,0.575,0.5475,0.5475,0.038890873,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,18,0.561,0.6285,0.59475,0.59475,0.047729708,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,19,0.6115,0.6905,0.651,0.651,0.055861436,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,20,0.653,0.7555,0.70425,0.70425,0.072478445,(+) Rhamnose,,0,1887,CRISPRi Mutants,_,1887_0,WQ49_RS10800,ribokinase,WQ49_RS10800,WQ49_RS10800,K562_RS32065,883,883,(,),1887(883),Pentose phosphate pathway,G,COG0524
,0,0.174,0.1135,0.01995,0.01995,0.04277996,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,1,0.161,0.1105,0.00875,0.00875,0.035708892,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,2,0.01325,0.107,0.00617,0.00617,0.029344931,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,3,0.02025,0.106,0.02075,0.02075,0.023334524,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,4,0.135,0.106,0.094,0.094,0.020506097,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,5,0.14,0.106,0.0975,0.0975,0.024041631,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,6,0.1645,0.1075,0.136,0.136,0.040305087,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,7,0.2465,0.113,0.17975,0.17975,0.094398755,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,8,0.275,0.1245,0.19975,0.19975,0.106419571,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,9,0.309,0.151,0.23,0.23,0.111722871,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,10,0.3525,0.2185,0.2855,0.2855,0.094752309,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,11,0.388,0.2685,0.32825,0.32825,0.08449926,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,12,0.423,0.307,0.365,0.365,0.082024387,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,13,0.4705,0.356,0.41325,0.41325,0.080963726,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,14,0.519,0.4025,0.46075,0.46075,0.08237794,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,15,0.587,0.4475,0.51725,0.51725,0.098641396,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,16,0.666,0.5005,0.58325,0.58325,0.117026172,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,17,0.754,0.58,0.667,0.667,0.12303658,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,18,0.8445,0.6685,0.7565,0.7565,0.124450793,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,19,0.9275,0.7505,0.839,0.839,0.1251579,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,20,1.004,0.8495,0.92675,0.92675,0.109247998,(+) Rhamnose,,0,1888,CRISPRi Mutants,_,1888_0,WQ49_RS11175,eutB,WQ49_RS11175,WQ49_RS11175,K562_RS31690,884,884,(,),1888(884),Biosynthesis of amino acids,E,COG1171
,0,0.1075,0.105,0.01995,0.01995,0.001767767,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,1,0.108,0.1035,0.00875,0.00875,0.003181981,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,2,0.01325,0.099,0.00617,0.00617,0.004242641,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,3,0.02025,0.101,0.02075,0.02075,0.00212132,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,4,0.1035,0.103,0.094,0.094,0.000353553,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,5,0.1055,0.1035,0.0975,0.0975,0.001414214,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,6,0.1115,0.107,0.10925,0.10925,0.003181981,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,7,0.1255,0.1155,0.1205,0.1205,0.007071068,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,8,0.1595,0.1325,0.146,0.146,0.019091883,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,9,0.2575,0.186,0.22175,0.22175,0.050558135,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,10,0.301,0.2145,0.25775,0.25775,0.061164737,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,11,0.3265,0.2745,0.3005,0.3005,0.036769553,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,12,0.3405,0.3155,0.328,0.328,0.01767767,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,13,0.349,0.3545,0.35175,0.35175,0.003889087,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,14,0.3515,0.3955,0.3735,0.3735,0.031112698,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,15,0.357,0.438,0.3975,0.3975,0.057275649,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,16,0.3685,0.473,0.42075,0.42075,0.073892659,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,17,0.392,0.505,0.4485,0.4485,0.079903066,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,18,0.429,0.5385,0.48375,0.48375,0.077428193,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,19,0.48,0.58,0.53,0.53,0.070710678,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,20,0.54,0.627,0.5835,0.5835,0.06151829,(+) Rhamnose,,0,1892,CRISPRi Mutants,_,1892_0,WQ49_RS11525,hypothetical protein,WQ49_RS11525,WQ49_RS11525,K562_RS02090,885,885,(,),1892(885),Others,M,COG2821
,0,0.0945,0.107,0.01995,0.01995,0.008838835,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,1,0.095,0.104,0.00875,0.00875,0.006363961,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,2,0.01325,0.09,0.00617,0.00617,0.003535534,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,3,0.02025,0.088,0.02075,0.02075,0.005656854,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,4,0.098,0.0895,0.094,0.094,0.006010408,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,5,0.1015,0.091,0.0975,0.0975,0.007424621,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,6,0.1085,0.095,0.10175,0.10175,0.009545942,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,7,0.1235,0.1035,0.1135,0.1135,0.014142136,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,8,0.155,0.12,0.1375,0.1375,0.024748737,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,9,0.2455,0.162,0.20375,0.20375,0.059043416,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,10,0.28,0.197,0.2385,0.2385,0.058689863,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,11,0.3115,0.2435,0.2775,0.2775,0.048083261,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,12,0.3395,0.278,0.30875,0.30875,0.043487067,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,13,0.3755,0.308,0.34175,0.34175,0.047729708,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,14,0.4085,0.3385,0.3735,0.3735,0.049497475,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,15,0.446,0.368,0.407,0.407,0.055154329,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,16,0.4835,0.396,0.43975,0.43975,0.061871843,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,17,0.522,0.424,0.473,0.473,0.069296465,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,18,0.558,0.459,0.5085,0.5085,0.070003571,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,19,0.6125,0.503,0.55775,0.55775,0.077428193,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,20,0.6845,0.5545,0.6195,0.6195,0.091923882,(+) Rhamnose,,0,1893,CRISPRi Mutants,_,1893_0,WQ49_RS11590,ubiquinone biosynthesis hydroxylase UbiH,WQ49_RS11590,WQ49_RS11590,K562_RS02025,886,886,(,),1893(886),Others,HC,COG0654
,0,0.13,0.104,0.01995,0.01995,0.018384776,(+) Rhamnose,,0,1895,CRISPRi Mutants,_,1895_0,WQ49_RS11880,glutathione S-transferase,WQ49_RS11880,WQ49_RS11880,K562_RS01730,887,887,(,),1895(887),Others,O,COG0625
,1,0.127,0.1005,0.00875,0.00875,0.01873833,(+) Rhamnose,,0,1895,CRISPRi Mutants,_,1895_0,WQ49_RS11880,glutathione S-transferase,WQ49_RS11880,WQ49_RS11880,K562_RS01730,887,887,(,),1895(887),Others,O,COG0625
,2,0.01325,0.0965,0.00617,0.00617,0.016263456,(+) Rhamnose,,0,1895,CRISPRi Mutants,_,1895_0,WQ49_RS11880,glutathione S-transferase,WQ49_RS11880,WQ49_RS11880,K562_RS01730,887,887,(,),1895(887),Others,O,COG0625
,3,0.02025,0.0985,0.02075,0.02075,0.010960155,(+) Rhamnose,,0,1895,CRISPRi Mutants,_,1895_0,WQ49_RS11880,glutathione S-transferase,WQ49_RS11880,WQ49_RS11880,K562_RS01730,887,887,(,),1895(887),Others,O,COG0625
